City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2020-08-01 16:28:24,71.92,114.08,59.32,54,15,5.91
1,Castro,BR,2020-08-01 16:28:39,-24.79,-50.01,66.34,54,37,4.07
2,Rikitea,PF,2020-08-01 16:27:57,-23.12,-134.97,73.24,81,100,5.14
3,Puerto Ayora,EC,2020-08-01 16:25:17,-0.74,-90.35,75.2,69,75,16.11
4,Mataura,NZ,2020-08-01 16:27:50,-46.19,168.86,47.68,86,73,4.59
5,San Cristobal,VE,2020-08-01 16:29:07,7.77,-72.22,91.4,43,20,23.04
6,Fairbanks,US,2020-08-01 16:28:37,64.84,-147.72,60.8,87,1,2.3
7,Victor Harbor,AU,2020-08-01 16:27:57,-35.57,138.62,44.01,89,0,3.15
8,Yellowknife,CA,2020-08-01 16:28:25,62.46,-114.35,70.0,72,75,11.41
9,Rawson,AR,2020-08-01 16:24:44,-43.3,-65.1,54.43,47,100,29.06
10,Cape Town,ZA,2020-08-01 16:24:31,-33.93,18.42,68.0,59,0,5.82
11,Kisesa,TZ,2020-08-01 16:31:00,-3.08,34.15,73.47,33,1,10.6
12,Mareeba,AU,2020-08-01 16:31:00,-17.0,145.43,66.2,82,75,13.87
13,Kaeo,NZ,2020-08-01 16:31:00,-35.1,173.78,59.0,3,100,5.99
14,Saint-Philippe,RE,2020-08-01 16:28:09,-21.36,55.77,68.0,88,75,9.17
15,Port Alfred,ZA,2020-08-01 16:27:55,-33.59,26.89,59.63,74,0,2.95
16,Korla,CN,2020-08-01 16:27:53,41.76,86.15,84.96,20,56,5.55
17,Vestmannaeyjar,IS,2020-08-01 16:29:52,63.44,-20.27,57.2,87,40,14.99
18,Kapaa,US,2020-08-01 16:27:51,22.08,-159.32,77.0,78,75,11.41
19,Campbell River,CA,2020-08-01 16:31:01,50.02,-125.24,66.2,68,40,4.7
20,Myingyan,MM,2020-08-01 16:31:01,21.47,95.38,87.84,68,100,11.3
21,Westport,US,2020-08-01 16:31:02,41.14,-73.36,86.0,58,1,4.7
22,Puerto Escondido,MX,2020-08-01 16:27:51,15.85,-97.07,87.8,62,5,3.47
